Hotel ID,Score,Reviewer_ID
1_1,10.0,MARIKO_5590.0_1.0
1_1,10.0,Hong_3147.0_1.0
1_1,9.2,Guai_2519.0_1.0
1_1,8.8,Nghĩa_6542.0_1.0
1_1,9.2,Duc_1925.0_1.0
1_1,10.0,Thuy_9167.0_1.0
1_1,10.0,Vui_10010.0_1.0
1_1,9.6,Trang_9462.0_1.0
1_1,8.8,Thuy_9164.0_1.0
1_1,10.0,Thảo_9236.0_1.0
1_1,8.0,Tùng_9740.0_1.0
1_1,10.0,nhung_12222.0_1.0
1_1,7.2,Vân_10031.0_1.0
1_1,9.2,Quynh_7423.0_1.0
1_1,8.8,Quỳnh_7454.0_1.0
1_1,10.0,THI_8728.0_1.0
1_1,9.6,Đặng_13176.0_1.0
1_1,9.2,Huynh_3258.0_1.0
1_1,10.0,Nguyễn_6605.0_1.0
1_1,10.0,Thị_9261.0_1.0
1_1,10.0,Nguyen_6583.0_1.0
1_1,6.8,kieu_11822.0_1.0
1_1,9.2,Nguyễn_6602.0_1.0
1_1,8.8,Thị_9258.0_1.0
1_1,9.6,Thị_9258.0_1.0
1_1,9.6,Kieu_4862.0_1.0
1_1,8.8,THI_8729.0_1.0
1_1,9.6,Khánh_4823.0_1.0
1_1,8.4,Nguyen_6579.0_1.0
1_1,10.0,Hoàng_3185.0_1.0
1_1,10.0,Hằng_3470.0_1.0
1_1,10.0,Le_5213.0_1.0
1_1,8.4,Hong_3142.0_1.0
1_1,10.0,Truong_9535.0_1.0
1_1,8.4,Minh_6096.0_1.0
1_1,9.6,Lê_5537.0_1.0
1_1,8.4,Loc_5408.0_1.0
1_1,9.6,thanh_12687.0_1.0
1_1,10.0,Thai_8984.0_1.0
1_1,10.0,Son_8396.0_1.0
1_1,7.2,Phuong_7207.0_1.0
1_1,6.4,Hung_3218.0_1.0
1_1,10.0,Nguyễn_6606.0_1.0
1_1,10.0,Nguyen_6583.0_1.0
1_1,10.0,Phuong_7207.0_2.0
1_1,8.0,Minh_6100.0_1.0
1_1,8.0,Minh_6096.0_2.0
1_1,9.2,Bàng_803.0_1.0
1_1,6.8,Phú_7228.0_1.0
1_1,8.8,Minh_6098.0_1.0
1_1,10.0,Nguyen_6583.0_2.0
1_1,9.6,Phương_7239.0_1.0
1_1,10.0,Anh_382.0_1.0
1_1,10.0,Lan_5168.0_1.0
1_1,9.2,Hoàng_3183.0_1.0
1_1,9.6,Quân_7437.0_1.0
1_1,7.6,Hai_2871.0_1.0
1_1,7.2,Giang_2460.0_1.0
1_1,9.2,Tùng_9738.0_1.0
1_1,9.6,Khoa_4795.0_1.0
1_1,10.0,Trung_9527.0_1.0
1_1,10.0,Dung_1947.0_1.0
1_1,10.0,Thanh_9002.0_1.0
1_1,8.4,Khanh_4783.0_1.0
1_1,10.0,Yến_10790.0_1.0
1_1,10.0,Nguyễn_6602.0_1.0
1_1,9.6,Nguyen_6583.0_1.0
1_1,8.4,uyen_12842.0_1.0
1_1,8.8,THI_8730.0_1.0
1_1,10.0,Tung_9635.0_1.0
1_1,10.0,Tâm_9711.0_1.0
1_1,10.0,Thành_9193.0_1.0
1_1,10.0,LE_5067.0_1.0
1_1,10.0,LE_5067.0_2.0
1_1,10.0,LE_5071.0_1.0
1_1,10.0,LE_5067.0_3.0
1_1,10.0,phú_12315.0_1.0
1_1,8.0,Trang_9464.0_1.0
1_1,10.0,Oanh_6849.0_1.0
1_1,10.0,Quynh_7421.0_1.0
1_1,8.8,Thảo_9235.0_1.0
1_1,10.0,Duyen_1973.0_1.0
1_1,8.4,Duyen_1973.0_1.0
1_1,10.0,viet_12866.0_1.0
1_1,10.0,Do_1851.0_1.0
1_1,10.0,Do_1851.0_2.0
1_1,8.8,Nguyen_6580.0_1.0
1_1,9.6,Trần_9578.0_1.0
1_1,8.8,LÊ_5522.0_1.0
1_1,10.0,Nguyen_6579.0_1.0
1_1,10.0,Dũng_1994.0_1.0
1_1,10.0,Nguyên_6591.0_1.0
1_1,8.0,Thai_8982.0_1.0
1_1,8.8,vo_12876.0_1.0
1_1,9.2,Lan_5168.0_1.0
1_1,9.6,Ngọc_6635.0_1.0
1_1,8.0,Ngọc_6636.0_1.0
1_1,8.4,Lê_5534.0_1.0
1_1,10.0,Từ_9779.0_1.0
1_1,10.0,Từ_9779.0_2.0
1_1,10.0,Từ_9779.0_3.0
1_1,10.0,Nguyen_6581.0_1.0
1_1,8.8,Đặng_13180.0_1.0
1_1,7.6,Nguyen_6581.0_2.0
1_1,8.4,Phước_7246.0_1.0
1_1,10.0,Sơn_8648.0_1.0
1_1,9.6,Trương_9565.0_1.0
1_1,10.0,Phạm_7251.0_1.0
1_1,8.8,Văn_10045.0_1.0
1_1,8.4,Hà_3403.0_1.0
1_1,10.0,Tuan_9617.0_1.0
1_1,7.6,Tâm_9713.0_1.0
1_1,10.0,Thảo_9236.0_2.0
1_1,10.0,Long_5423.0_1.0
1_1,10.0,Duyen_1973.0_1.0
1_1,10.0,Nguyễn_6605.0_1.0
1_1,10.0,liên_11970.0_1.0
1_1,9.2,Ngan_6515.0_1.0
1_1,10.0,Yen_10565.0_1.0
1_1,10.0,nhung_12222.0_1.0
1_1,9.6,Hữu_3496.0_1.0
1_1,9.6,Thy_9191.0_1.0
1_1,10.0,Hồ_3476.0_1.0
1_1,9.6,Nhi_6659.0_1.0
1_1,10.0,An_287.0_1.0
1_1,10.0,Trang_9462.0_1.0
1_1,6.4,Nam_6430.0_1.0
1_1,10.0,Tuyen_9659.0_1.0
1_1,10.0,Tam_8904.0_1.0
1_1,10.0,Khanh_4782.0_1.0
1_1,10.0,Trần_9576.0_1.0
1_1,10.0,Trần_9576.0_2.0
1_1,10.0,hung_11426.0_1.0
1_1,10.0,Nhi_6660.0_1.0
1_1,7.2,Bui_777.0_1.0
1_1,10.0,Minh_6096.0_1.0
1_1,10.0,Huỳnh_3278.0_1.0
1_1,10.0,Huỳnh_3278.0_2.0
1_1,10.0,Thời_9269.0_1.0
1_1,10.0,Duy_1965.0_1.0
1_1,8.8,Dinh_1817.0_1.0
1_1,10.0,bui_10967.0_1.0
1_1,10.0,Bich_682.0_1.0
1_1,10.0,TOAN_8770.0_1.0
1_1,10.0,Đoàn_13134.0_1.0
1_1,10.0,Duyen_1973.0_2.0
1_1,10.0,Duyen_1969.0_1.0
1_1,8.0,Son_8399.0_1.0
1_1,10.0,Trinh_9496.0_1.0
1_1,8.8,Nguyen_6583.0_2.0
1_1,10.0,chi_11034.0_1.0
1_1,10.0,Nhung_6682.0_1.0
1_1,9.6,lê_11998.0_1.0
1_1,9.2,An_290.0_1.0
1_1,10.0,Uyển_9825.0_1.0
1_1,10.0,Uyển_9826.0_1.0
1_1,9.6,Nguyen_6583.0_1.0
1_1,10.0,Nguyen_6582.0_1.0
1_1,10.0,Nguyen_6583.0_3.0
1_1,10.0,Lan_5168.0_1.0
1_1,10.0,Nguyen_6582.0_2.0
1_1,6.8,Tâm_9713.0_1.0
1_1,10.0,Hoang_3116.0_1.0
1_1,7.6,Huynh_3259.0_1.0
1_1,10.0,Ynhu_10626.0_1.0
1_1,10.0,Ynhu_10626.0_2.0
1_1,10.0,Linh_5358.0_1.0
1_1,10.0,Linh_5358.0_2.0
1_1,8.0,Do_1850.0_1.0
1_1,10.0,Dũng_1998.0_1.0
1_1,8.0,Hue_3200.0_1.0
1_1,7.6,Tung_9637.0_1.0
1_1,10.0,Hoàng_3183.0_1.0
1_1,9.6,Thi_9048.0_1.0
1_1,10.0,Duyen_1973.0_1.0
1_1,8.0,Rose_7662.0_1.0
1_1,10.0,Nguyen_6584.0_1.0
1_1,10.0,Nguyễn_6605.0_1.0
1_1,10.0,Vân_10031.0_1.0
1_1,10.0,Hoàng_3185.0_1.0
1_1,10.0,Phan_7126.0_1.0
1_1,10.0,Phan_7126.0_2.0
1_1,9.6,Kim_4891.0_1.0
1_1,8.8,Kim_4890.0_1.0
1_1,10.0,Hong_3144.0_1.0
1_1,10.0,Hong_3145.0_1.0
1_1,10.0,THANG_8710.0_1.0
1_1,10.0,Hoang_3114.0_1.0
1_1,9.6,Nguyệt_6609.0_1.0
1_1,10.0,Huyen_3248.0_1.0
1_1,10.0,Hong_3144.0_1.0
1_1,10.0,Hong_3143.0_1.0
1_1,10.0,Hong_3147.0_1.0
1_1,10.0,Thời_9270.0_1.0
1_1,10.0,Van_9874.0_1.0
1_1,9.6,Hong_3145.0_2.0
1_1,9.2,Hong_3145.0_3.0
1_1,9.6,Hong_3147.0_2.0
1_1,10.0,Nguyen_6583.0_1.0
1_1,7.6,NGUYỄN_6363.0_1.0
1_1,10.0,vu_12883.0_1.0
1_1,9.2,Phương_7239.0_1.0
1_1,10.0,Dinh_1815.0_1.0
1_1,9.6,Nguyễn_6604.0_1.0
1_1,10.0,Ho_3082.0_1.0
1_1,8.8,TAM_8684.0_1.0
1_1,9.2,Nguyễn_6602.0_1.0
1_1,9.2,Hong_3145.0_1.0
1_1,8.0,Phạm_7254.0_1.0
1_1,10.0,Tran_9448.0_1.0
1_1,6.8,cam_10983.0_1.0
1_1,10.0,Nhung_6680.0_1.0
1_1,9.6,Thọ_9266.0_1.0
1_1,10.0,Thi_9049.0_1.0
1_1,10.0,My_6242.0_1.0
1_1,9.6,Hong_3145.0_2.0
1_1,8.4,huan_11418.0_1.0
1_1,9.6,LE_5070.0_1.0
1_1,10.0,tuyet_12829.0_1.0
1_1,9.6,Duong_1956.0_1.0
1_1,9.6,Hong_3144.0_1.0
1_1,10.0,minh_12082.0_1.0
1_1,10.0,Kathy_4667.0_1.0
1_1,8.4,Hà_3403.0_1.0
1_1,8.8,Diem_1784.0_1.0
1_1,10.0,Ngoc_6559.0_1.0
1_1,10.0,Đức_13201.0_1.0
1_1,10.0,Hong_3143.0_1.0
1_1,10.0,Chi_1179.0_1.0
1_1,10.0,Hong_3142.0_1.0
1_1,10.0,Hong_3144.0_2.0
1_1,10.0,THANG_8711.0_1.0
1_1,8.4,Nguyễn_6604.0_1.0
1_1,9.6,Nguyễn_6604.0_2.0
1_1,6.4,Nguyễn_6604.0_1.0
1_2,10.0,Linh_5356.0_1.0
1_2,10.0,Phương_7237.0_1.0
1_2,10.0,tu_12817.0_1.0
1_2,10.0,dragon_11166.0_1.0
1_2,10.0,Hang_2906.0_1.0
1_2,9.6,Vinh_9953.0_1.0
1_2,9.6,Tran_9448.0_1.0
1_2,7.2,Kim_4887.0_1.0
1_2,10.0,Băng_824.0_1.0
1_2,10.0,Thu_9135.0_1.0
1_2,8.4,Võ_10038.0_1.0
1_2,9.2,Juna_4405.0_1.0
1_2,10.0,Phương_7237.0_2.0
1_2,8.0,God_2495.0_1.0
1_2,7.6,Thanh_9000.0_1.0
1_2,10.0,Công_1425.0_1.0
1_2,10.0,Ngoc_6557.0_1.0
1_2,7.2,Dung_1943.0_1.0
1_2,10.0,Phạm_7251.0_1.0
1_2,7.6,Tuyết_9672.0_1.0
1_2,10.0,Sang_8063.0_1.0
1_2,10.0,Võ_10038.0_1.0
1_2,10.0,Kim_4887.0_1.0
1_2,8.8,Hung_3220.0_1.0
1_2,10.0,Hung_3216.0_1.0
1_2,6.8,Yến_10790.0_1.0
1_2,10.0,NGUYEN_6350.0_1.0
1_2,9.2,Giang_2453.0_1.0
1_2,9.6,Nguyen_6579.0_1.0
1_2,6.8,NGUYEN_6349.0_1.0
1_2,9.2,THANH_8712.0_1.0
1_2,7.6,Duy_1964.0_1.0
1_2,9.2,Phuc_7183.0_1.0
