Hotel ID,Nationality,Group Name,Room Type,Score,Score Level,Stay days,Month,Review,Sentiment
1_1,Nhật Bản,Cặp đôi,Phòng Deluxe 2 Giường đơn Nhìn ra Biển,10.0,4,3,7,thân_thiện cảm_động tuyệt_vời bơi rộng thoải_mái thú_vị,Tích cực
1_1,Việt Nam,Đi công tác,Phòng Deluxe 2 Giường đơn Nhìn ra Biển,10.0,4,1,9,giá_cả đầy_đủ nhiệt_tình dể_thương tiếp chào_khách,Tích cực
1_1,Việt Nam,Cặp đôi,Deluxe Hướng biển giường đôi,9.2,4,1,6,thư_giãn dễ_chịu thuận_lợi tận_tình thủ_tục sạch_sẽ hơi cũ_kỹ chờ_đợi ăn_phú đặc_sản vùng_miền nướng,Tích cực
1_1,Việt Nam,Gia đình có em bé,Deluxe Hướng biển giường đôi,8.8,3,3,6,đầy_đủ phục_vụ nhiệt_tình lịch,Trung tính
1_1,Việt Nam,Cặp đôi,Deluxe 2 giường Hướng phố,9.2,4,1,6,tốt sát thân_thiện lĩnh nhiệt_tình rộng_rãi thoáng đẹp không_thích lắm hơi nóng chờ,Tích cực
1_1,Việt Nam,Gia đình có em bé,Deluxe Hướng biển giường đôi,10.0,4,1,6,tốt đẹp rộng rộng đẹp nằm bộ_chỉ,Tích cực
1_1,Việt Nam,Gia đình có em bé,Phòng Gia Đình Loại Sang,10.0,4,1,2,ấn_tượng mường trải_nghiệm thức_ăn nhiệt_tình chăm_sóc chuyên_nghiệp hiếu_bạn hướng_dẫn giúp_đỡ tuyệt_vời dọn bảo_vệ lịch mường hẹn,Tích cực
1_1,Việt Nam,Gia đình có em bé,Phòng Gia Đình Loại Sang,9.6,4,3,7,phục_vụ trừ hơi chậm lựa_chọn,Trung tính
1_1,Việt Nam,Cặp đôi,Deluxe Hướng biển giường đôi,8.8,3,1,3,sạch_sẽ tuyệt_vời thoải_mái cơ_sở_vật_chất cũ âm tệ di_chuyển chậm bàn_điểm không_mở,Trung tính
1_1,Việt Nam,Du lịch một mình,Deluxe giường đôi Hướng phố,10.0,4,3,2,nghỉ_dưỡng tiện nội_thất_đẹp toàn_bộ lắm ưng_ý đẹp sống,Tích cực
1_1,Việt Nam,Gia đình có em bé,Executive Suite,8.0,3,2,2,tạm ổn rộng ổn cực tốt tạm nhiệt_tình chê hơi rườm_rà sẵn nghỉ tối_ưu_hóa chảy yếu nóng chậm bồn_tắm buồn đợi,Tiêu cực
1_1,Việt Nam,Gia đình có em bé,Deluxe 2 giường Hướng phố,10.0,4,3,6,ăn_uống tốt dễ_thương thoải_mái,Tích cực
1_1,Việt Nam,Gia đình có em bé,Deluxe Hướng biển giường đôi,7.2,2,3,6,tốt_mường không_xứng bể chán_sục ấm trẻ nhiệt_tình kèm không_nói đào_tạo tươi_cười nhiệt_tình,Trung tính
