Hotel ID,Review ID,Score,Hotel_ID_Encoded
1_1,5522,8.8,156
1_1,6579,10.0,156
1_1,1994,10.0,156
1_1,6591,10.0,156
1_1,8982,8.0,156
1_1,12876,8.8,156
1_1,5168,9.2,156
1_1,6635,9.6,156
1_1,6636,8.0,156
1_1,5534,8.4,156
1_1,9779,10.0,156
1_1,6581,10.0,156
1_1,13180,8.8,156
1_1,6581,7.6,156
1_1,7246,8.4,156
1_1,8648,10.0,156
1_1,9565,9.6,156
1_1,7251,10.0,156
1_1,10045,8.8,156
1_1,3403,8.4,156
1_1,9617,10.0,156
1_1,9713,7.6,156
1_1,9236,10.0,156
1_1,5423,10.0,156
1_1,1973,10.0,156
1_1,6605,10.0,156
1_1,11970,10.0,156
1_1,6515,9.2,156
1_1,10565,10.0,156
1_1,12222,10.0,156
1_1,3496,9.6,156
1_1,9191,9.6,156
1_1,3476,10.0,156
1_1,6659,9.6,156
1_1,287,10.0,156
1_1,9462,10.0,156
1_1,6430,6.4,156
1_1,9659,10.0,156
1_1,8904,10.0,156
1_1,4782,10.0,156
1_1,9576,10.0,156
1_1,11426,10.0,156
1_1,6660,10.0,156
1_1,777,7.2,156
1_1,6096,10.0,156
1_1,3278,10.0,156
1_1,3278,10.0,156
1_1,9269,10.0,156
1_1,1965,10.0,156
1_1,1817,8.8,156
1_1,10967,10.0,156
1_1,682,10.0,156
1_1,8770,10.0,156
1_1,13134,10.0,156
1_1,1973,10.0,156
1_1,1969,10.0,156
1_1,8399,8.0,156
1_1,9496,10.0,156
1_1,6583,8.8,156
1_1,11034,10.0,156
1_1,6682,10.0,156
1_1,11998,9.6,156
1_1,290,9.2,156
1_1,9825,10.0,156
1_1,9826,10.0,156
1_1,6583,9.6,156
1_1,6582,10.0,156
1_1,6583,10.0,156
1_1,5168,10.0,156
1_1,6582,10.0,156
1_1,9713,6.8,156
1_1,3116,10.0,156
1_1,3259,7.6,156
1_1,10626,10.0,156
1_1,5358,10.0,156
1_1,1850,8.0,156
1_1,1998,10.0,156
1_1,3200,8.0,156
1_1,9637,7.6,156
1_1,3183,10.0,156
1_1,9048,9.6,156
1_1,1973,10.0,156
1_1,7662,8.0,156
1_1,6584,10.0,156
1_1,6605,10.0,156
1_1,10031,10.0,156
1_1,3185,10.0,156
1_1,7126,10.0,156
1_1,4891,9.6,156
1_1,4890,8.8,156
1_1,3144,10.0,156
1_1,3145,10.0,156
1_1,8710,10.0,156
1_1,3114,10.0,156
1_1,6609,9.6,156
1_1,3248,10.0,156
1_1,3144,10.0,156
1_1,3143,10.0,156
1_1,3147,10.0,156
1_1,9270,10.0,156
1_1,9874,10.0,156
1_1,3145,9.6,156
1_1,3145,9.2,156
1_1,3147,9.6,156
1_1,6583,10.0,156
1_1,6363,7.6,156
1_1,12883,10.0,156
1_1,7239,9.2,156
1_1,1815,10.0,156
1_1,6604,9.6,156
1_1,3082,10.0,156
1_1,8684,8.8,156
1_1,6602,9.2,156
1_1,3145,9.2,156
1_1,7254,8.0,156
1_1,9448,10.0,156
1_1,10983,6.8,156
1_1,6680,10.0,156
1_1,9266,9.6,156
1_1,9049,10.0,156
1_1,6242,10.0,156
1_1,3145,9.6,156
1_1,11418,8.4,156
1_1,5070,9.6,156
1_1,12829,10.0,156
1_1,1956,9.6,156
1_1,3144,9.6,156
1_1,12082,10.0,156
1_1,4667,10.0,156
1_1,3403,8.4,156
1_1,1784,8.8,156
1_1,6559,10.0,156
1_1,13201,10.0,156
1_1,3143,10.0,156
1_1,1179,10.0,156
1_1,3142,10.0,156
1_1,3144,10.0,156
1_1,8711,10.0,156
1_1,6604,8.4,156
1_1,6604,9.6,156
1_1,6604,6.4,156
1_1,5590,10.0,156
1_1,3147,10.0,156
1_1,2519,9.2,156
1_1,6542,8.8,156
1_1,1925,9.2,156
1_1,9167,10.0,156
1_1,10010,10.0,156
1_1,9462,9.6,156
1_1,9164,8.8,156
1_1,9236,10.0,156
1_1,9740,8.0,156
1_1,12222,10.0,156
1_1,10031,7.2,156
1_1,7423,9.2,156
1_1,7454,8.8,156
1_1,8728,10.0,156
1_1,13176,9.6,156
1_1,3258,9.2,156
1_1,6605,10.0,156
1_1,9261,10.0,156
1_1,6583,10.0,156
1_1,11822,6.8,156
1_1,6602,9.2,156
1_1,9258,8.8,156
1_1,9258,9.6,156
1_1,4862,9.6,156
1_1,8729,8.8,156
1_1,4823,9.6,156
1_1,6579,8.4,156
1_1,3185,10.0,156
1_1,3470,10.0,156
1_1,5213,10.0,156
1_1,3142,8.4,156
1_1,9535,10.0,156
1_1,6096,8.4,156
1_1,5537,9.6,156
1_1,5408,8.4,156
1_1,12687,9.6,156
1_1,8984,10.0,156
1_1,8396,10.0,156
1_1,7207,7.2,156
1_1,3218,6.4,156
1_1,6606,10.0,156
1_1,6583,10.0,156
1_1,7207,10.0,156
1_1,6100,8.0,156
1_1,6096,8.0,156
1_1,803,9.2,156
1_1,7228,6.8,156
1_1,6098,8.8,156
1_1,6583,10.0,156
1_1,7239,9.6,156
1_1,382,10.0,156
1_1,5168,10.0,156
1_1,3183,9.2,156
1_1,7437,9.6,156
1_1,2871,7.6,156
1_1,2460,7.2,156
1_1,9738,9.2,156
1_1,4795,9.6,156
1_1,9527,10.0,156
1_1,1947,10.0,156
1_1,9002,10.0,156
1_1,4783,8.4,156
1_1,10790,10.0,156
1_1,6602,10.0,156
1_1,6583,9.6,156
1_1,12842,8.4,156
1_1,8730,8.8,156
1_1,9635,10.0,156
1_1,9711,10.0,156
1_1,9193,10.0,156
1_1,5067,10.0,156
1_1,5071,10.0,156
1_1,12315,10.0,156
1_1,9464,8.0,156
1_1,6849,10.0,156
1_1,7421,10.0,156
1_1,9235,8.8,156
1_1,1973,10.0,156
1_1,1973,8.4,156
1_1,12866,10.0,156
1_1,1851,10.0,156
1_1,6580,8.8,156
1_1,9578,9.6,156
1_2,4889,9.2,167
1_2,9039,9.6,167
1_2,4507,10.0,167
1_2,1469,8.8,167
1_2,5158,8.0,167
1_2,6602,9.2,167
1_2,6715,6.8,167
1_2,8395,9.6,167
1_2,6845,6.4,167
1_2,5536,7.6,167
1_2,3185,10.0,167
1_2,3432,10.0,167
1_2,10927,9.6,167
1_2,1427,10.0,167
1_2,12205,9.2,167
1_2,3279,10.0,167
1_2,9049,8.8,167
1_2,9988,10.0,167
1_2,8779,8.0,167
1_2,5356,10.0,167
1_2,7237,10.0,167
1_2,12817,10.0,167
1_2,11166,10.0,167
1_2,2906,10.0,167
1_2,9953,9.6,167
1_2,9448,9.6,167
1_2,4887,7.2,167
1_2,824,10.0,167
1_2,9135,10.0,167
1_2,10038,8.4,167
1_2,4405,9.2,167
1_2,2495,8.0,167
1_2,9000,7.6,167
1_2,1425,10.0,167
1_2,6557,10.0,167
1_2,1943,7.2,167
1_2,7251,10.0,167
1_2,9672,7.6,167
1_2,8063,10.0,167
1_2,10038,10.0,167
1_2,4887,10.0,167
1_2,3220,8.8,167
1_2,3216,10.0,167
1_2,10790,6.8,167
1_2,6350,10.0,167
1_2,2453,9.2,167
1_2,6579,9.6,167
1_2,6349,6.8,167
1_2,8712,9.2,167
1_2,1964,7.6,167
1_2,7183,9.2,167
1_2,7220,8.0,167
1_2,3114,10.0,167
1_2,9824,10.0,167
1_2,5356,10.0,167
1_2,3182,10.0,167
1_2,9525,8.8,167
1_2,9739,10.0,167
1_2,6238,10.0,167
1_2,10039,8.0,167
1_2,3466,10.0,167
1_2,9243,8.4,167
1_2,815,9.6,167
1_2,12797,10.0,167
1_2,11444,10.0,167
1_2,6656,10.0,167
1_2,9272,9.6,167
1_2,4823,10.0,167
1_2,8924,8.8,167
1_2,3278,10.0,167
1_2,7124,10.0,167
1_2,10038,9.6,167
1_2,6602,10.0,167
1_2,3028,9.6,167
1_2,10269,10.0,167
1_2,7243,10.0,167
1_2,6082,10.0,167
1_2,6096,10.0,167
1_2,9953,6.8,167
1_2,7455,10.0,167
1_2,9576,9.2,167
